Seq. For Order,Observation Class,Domain Prefix,"Variable Name 
(minus domain prefix)",Variable Name ,Variable Label ,Type,"Controlled Terms, Codelist, or Format ",Role,CDISC Notes ,Core
22,Findings,PP,PPSTINT,PPSTINT,Start of Evaluation Interval,Char,ISO 8601,Timing,"Start of an interval relative to Time Point Reference (PPTPTREF) in ISO 8601 duration format. Example: when the area under the curve is calculated from 12 to 24 hours (PPTESTCD=AUCT1T2), the value would be PT12H.",Perm
23,Findings,PP,PPENINT,PPENINT,End of Evaluation Interval,Char,ISO 8601,Timing,"End of an interval relative to Time Point Reference (PPTPTREF) in ISO 8601 duration format. Example: when the area under the curve is calculated from 12 to 24 hours (PPTESTCD=AUCT1T2), the value would be PT24H.",Perm
1,Relationship,RELREC,STUDYID,STUDYID,Study Identifier,Char,,,Unique identifier for a study.,Req
2,Relationship,RELREC,RDOMAIN,RDOMAIN,Related Domain Abbreviation,Char,,,Two-character abbreviation for the domain of the parent record(s).,Req
3,Relationship,RELREC,USUBJID,USUBJID,Unique Subject Identifier,Char,,,Identifier used to uniquely identify across all studies for all applications or submissions involving the product.,Exp
4,Relationship,RELREC,POOLID,POOLID,Pool Identifier,Char,,,Identifier used for pooling subjects to assign a single finding to multiple subjects.,Perm
5,Relationship,RELREC,IDVAR,IDVAR,Identifying Variable,Char,,,Name of the identifying variable in the general-observation-class dataset that identifies the related record(s). Examples include --SEQ and --GRPID.,Exp
6,Relationship,RELREC,IDVARVAL,IDVARVAL,Identifying Variable Value,Char,,,"Value of identifying variable described in IDVAR. If --SEQ is the variable being used to describe this record, then the value of --SEQ would be entered here.",Exp
7,Relationship,RELREC,RELTYPE,RELTYPE,Relationship Type,Char,(RELTYPE),,"Identifies the hierarchical level of the records in the relationship. Values should be either ONE or MANY, only when --SPID is used. However, values are only necessary when identifying a relationship between datasets (as described in Section 8.4).",Exp
8,Relationship,RELREC,RELID,RELID,Relationship Identifier,Char,,,Unique value within USUBJID that identifies the relationship. All records for the same USUBJID that have the same RELID are considered “related/associated.” “RELID” can be any value the sponsor chooses and is only meaningful within the RELREC dataset to identify the related/associated Domain records.,Req
1,Findings,SC,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,SC,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Findings,SC,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across a study for all applications or submissions involving the product.,Req
4,Findings,SC,SCSEQ,SCSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,SC,SCGRPID,SCGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject. This is not the treatment group number.,Perm
6,Findings,SC,SCTESTCD,SCTESTCD,Subject Characteristic Short Name,Char,(SBCCDSND),Topic,"Short name of the measurement, test, or examination described in SCTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in SCTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST” is not valid). SCTESTCD cannot contain characters other than letters, numbers, or underscores. Some extensible controlled values are: SPLRNAM, SPLRLOC, HAIRCOLR.",Req
7,Findings,SC,SCTEST,SCTEST,Subject Characteristic,Char,(SBCSND),Synonym Qualifier,"Long name for SCTESTCD. The value in SCTEST cannot be longer than 40 characters. Examples: Test Subject Supplier, Test Subject Supplier Site, and Hair Coat Color.",Req
8,Findings,SC,SCORRES,SCORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the subject characteristic as originally received or collected.,Exp
9,Findings,SC,SCORRESU,SCORRESU,Unit of the Original Result,Char,(UNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology list.,Perm
10,Findings,SC,SCSTRESC,SCSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings derived from SCORRES in a standard format or standard units. SCSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in SCSTRESN. For example, if a test has results NONE, NEG, and NEGATIVE in SCORRES, these results effectively have the same meaning. In this case, they could be represented in standard format in SCSTRESC with a single term NEGATIVE.",Exp
11,Findings,SC,SCSTRESN,SCSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for continuous or numeric results or findings in standard format; contains the numeric form of SCSTRESC. SCSTRESN should store all numeric test results or findings.,Perm
12,Findings,SC,SCSTRESU,SCSTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,Standardized unit used for SCSTRESC or SCSTRESN.,Perm
13,Findings,SC,SCDTC,SCDTC,Date/Time of Collection,Char,ISO 8601,Timing,"Date/time of collection of the subject characteristic information, in ISO 8601 format.",Perm
14,Findings,SC,SCDY,SCDY,Study Day of Collection,Num,,Timing,"Study day of collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the",Perm
1,Special-Purpose,SE,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Special-Purpose,SE,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Special-Purpose,SE,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Special-Purpose,SE,SESEQ,SESEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a USUBJID within a domain. May be any valid number.,Req
5,Special-Purpose,SE,ETCD,ETCD,Element Code,Char,,Topic,"Short name of the Element used for programming and sorting. The same Element may occur more than once within an Arm. If an encountered Element differs from the planned Element to the point that it is considered a new Element, then use UNPLAN as the value for ETCD to represent this Element. The value in ETCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST” is not valid).",Req
6,Special-Purpose,SE,ELEMENT,ELEMENT,Description of Element,Char,,Synonym Qualifier,"The name of the Element. The same Element may occur more than once within an Arm. If ETCD has the value of UNPLAN, then ELEMENT should be blank.",Perm
7,Special-Purpose,SE,SESTDTC,SESTDTC,Start Date/Time of Element,Char,ISO 8601,Timing,Start date/time for an Element for each subject.,Req
8,Special-Purpose,SE,SEENDTC,SEENDTC,End Date/Time of Element,Char,ISO 8601,Timing,End date/time for an Element for each subject.,Exp
9,Special-Purpose,SE,SEUPDES,SEUPDES,Description of Unplanned Element,Char,,Synonym Qualifier,Description of what happened to the subject during this unplanned Element. Used only if ETCD has the value of UNPLAN.,Perm
1,Relationship,SUPPQUAL,STUDYID,STUDYID,Study Identifier,Char,,,Study Identifier of the Parent record(s).,Req
2,Relationship,SUPPQUAL,RDOMAIN,RDOMAIN,Related Domain Abbreviation,Char,,,Two-character abbreviation for the domain of the parent record(s).,Req
3,Relationship,SUPPQUAL,USUBJID,USUBJID,Unique Subject Identifier,Char,,,Unique Subject Identifier of the Parent record(s).,Exp
4,Relationship,SUPPQUAL,POOLID,POOLID,Pool Identifier,Char,,,Identifier used for pooling subjects to assign a single finding to multiple subjects.,Perm
5,Relationship,SUPPQUAL,IDVAR,IDVAR,Identifying Variable,Char,,,"Identifying variable in the dataset that identifies the related record(s). Examples: --SEQ, --GRPID.",Exp
6,Relationship,SUPPQUAL,IDVARVAL,IDVARVAL,Identifying Variable Value,Char,,,Value of identifying variable of the parent record(s).,Exp
7,Relationship,SUPPQUAL,QNAM,QNAM,Qualifier Variable Name,Char,,,"The short name of the Qualifier variable, which is used as a column name in a domain view with data from the parent domain. The value in QNAM cannot be longer than 8 characters nor can it start with a number (e.g., “1TEST” is not valid). QNAM cannot contain characters other than letters, numbers, or underscores. This will often be the column name in the sponsor’s operational dataset. The value in QNAM may not be the same as any variable name defined in another domain or the SDTM. The QNAM should uniquely correspond to a QLABEL within a single domain.",Req
8,Relationship,SUPPQUAL,QLABEL,QLABEL,Qualifier Variable Label,Char,,,This is the long name or label associated with QNAM. The value in QLABEL cannot be longer than 40 characters. This will often be the column label in the sponsor’s original dataset.,Req
9,Relationship,SUPPQUAL,QVAL,QVAL,Data Value,Char,,,"Result of, response to, or value associated with QNAM. A value for this column is required; no records can be in SUPP-- with a null value for QVAL.",Req
10,Relationship,SUPPQUAL,QORIG,QORIG,Origin,Char,,,"QORIG is used to indicate the origin of the data. Possible values are COLLECTED, DERIVED, OTHER, and NOT AVAILABLE. See Section 3.2.2.1.",Exp
11,Relationship,SUPPQUAL,QEVAL,QEVAL,Evaluator,Char,,,"Used only for results that are subjective (i.e., assigned by a person or a group). Should be null for records that contain objectively collected or derived data. Some examples include PATHOLOGIST or VETERINARIAN, etc.",Exp
1,Trial Design,TA,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Trial Design,TA,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Trial Design,TA,ARMCD,ARMCD,Planned Arm Code,Char,,Topic,Short name of a specific ARM (may be up to 20 characters) used for sorting and programming. Should be populated in Demographics when Arms have been defined in this domain.,Req
4,Trial Design,TA,ARM,ARM,Description of Planned Arm,Char,,Synonym Qualifier,"Descriptive name given to a specific Trial Arm (e.g., Low Dose, Mid Dose, 10 mg/kg/day dose, 3rd Arm) to which subject was assigned.",Req
5,Trial Design,TA,TAETORD,TAETORD,Order of Element within Arm,Num,,Identifier,Number that provides the order of the planned Element within the Arm. This value should be an integer.,Req
6,Trial Design,TA,ETCD,ETCD,Element Code,Char,,Record Qualifier,Short name of the Element used for programming and sorting. The same Element may occur more than once within an Arm. Maximum 8 characters. The values of ETCD used in the Trial Arms dataset must match values for the same Element in the Trial Elements dataset.,Req
7,Trial Design,TA,ELEMENT,ELEMENT,Description of Element,Char,,Synonym Qualifier,The name of the Element. The same Element may occur more than once within an Arm.,Perm
8,Trial Design,TA,TABRANCH,TABRANCH,Branch,Char,,Rule,"Conditions animals meet, occurring at the end of an Element, which cause an Arm to branch off from other Arms (e.g., randomization to control group).",Perm
9,Trial Design,TA,TATRANS,TATRANS,Transition Rule,Char,,Rule,"If the study design allows for an animal to transition to an Element other than the next sequential Element, as defined by TAETORD, then the conditions for transitioning to those other Elements, as well as the alternative Element sequences, are specified in this rule (e.g., TATRANS = ‘Animal with Hypoactivity Transitions to Rest Period to Treatment 2’).",Perm
10,Trial Design,TA,EPOCH,EPOCH,Trial Epoch,Char,,Timing,"Name of the study Epoch with which this Element of the Arm is associated (e.g., Treatment, Screen). Equivalent to ‘Phase’ or ‘Period.’",Exp
1,Trial Design,TE,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Trial Design,TE,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Trial Design,TE,ETCD,ETCD,Element Code,Char,,Topic,Short name of the Element used for programming and sorting. The same Element may occur more than once within an Arm. Maximum 8 characters.,Req
4,Trial Design,TE,ELEMENT,ELEMENT,Description of Element,Char,,Synonym Qualifier,The description of the Element. The same Element may occur more than once within an Arm.,Req
5,Trial Design,TE,TESTRL,TESTRL,Rule for Start of Element,Char,,Rule,Expresses rule for beginning Element.,Req
6,Trial Design,TE,TEENRL,TEENRL,Rule for End of Element,Char,,Rule,Expresses rule for ending Element. Either TEENRL or TEDUR must be present for each Element.,Perm
7,Trial Design,TE,TEDUR,TEDUR,Planned Duration of Element,Char,ISO 8601,Timing,Planned duration of Element in ISO 8601 format. Use when an Element represents a fixed duration.,Perm
1,Findings,TF,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,TF,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Findings,TF,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product within the submission,Req
4,Findings,TF,TFSEQ,TFSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,TF,TFGRPID,TFGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject. This is not the treatment group number.,Perm
6,Findings,TF,TFREFID,TFREFID,Specimen Identifier,Char,,Identifier,Internal or external specimen identifier. Example: Specimen barcode number.,Perm
7,Findings,TF,TFSPID,TFSPID,Mass Number,Char,,Identifier,"Mass identifier such as MASS 1 or MASS A. Used when the mass was discovered during the in-life phase or during pathology and assigned a mass identifier. The mass identification should be unique within the subject, regardless of mass location.",Exp
8,Findings,TF,TFTESTCD,TFTESTCD,Tumor Examination Short Name,Char,(TFTESTCD),Topic,"Short name of the measurement, test, or examination described in TFTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in TFTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST” is not valid). TFTESTCD cannot contain characters other than letters, numbers, or underscores. Example: TUMEX.",Req
9,Findings,TF,TFTEST,TFTEST,Tumor Examination,Char,(TFTEST),Synonym Qualifier,Long name for TFTESTCD. The value in TFTEST cannot be longer than 40 characters. Example: Tumor Examination.,Req
10,Findings,TF,TFORRES,TFORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the histopathological examination as originally received or collected.,Exp
11,Findings,TF,TFSTRESC,TFSTRESC,Standardized Result in Character Format,Char,(NEOPLASM),Result Qualifier,Contains the tumor name mapped from TFORRES into a standard format from the controlled terms list.,Exp
12,Findings,TF,TFRESCAT,TFRESCAT,Tumor Malignancy Status,Char,(NEOSTAT),Variable Qualifier,"Used to record the malignancy of the tumor as determined by the pathologist. It may be copied or derived from a description in TFORRES. Examples: BENIGN, MALIGNANT, METASTATIC, and UNDETERMINED.",Req
13,Findings,TF,TFSTAT,TFSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate examination not done or result is missing. Should be null if a result exists in TFORRES.,Perm
14,Findings,TF,TFREASND,TFREASND,Reason Not Done,Char,,Record Qualifier,"Describes why TFSTAT is NOT DONE, such as SAMPLE AUTOLYZED or SPECIMEN LOST.",Perm
15,Findings,TF,TFNAM,TFNAM,Laboratory Name,Char,,Record Qualifier,Name or identifier of the laboratory or vendor who provides the test results.,Perm
16,Findings,TF,TFSPEC,TFSPEC,Specimen Material Type,Char,(SPEC),Record Qualifier,"Subject of the observation. Defines the type of specimen used for a measurement. Examples: LIVER, HEART.",Req
17,Findings,TF,TFANTREG,TFANTREG,Anatomical Region of Specimen,Char,,Variable Qualifier,"Defines the region of a tissue or organ specimen or the region from which the specimen was obtained, such as a section or part of what is defined in the TFSPEC variable. Examples: CORTEX, MEDULLA, ORBITAL SINUS.",Perm
18,Findings,TF,TFSPCCND,TFSPCCND,Specimen Condition,Char,,Variable Qualifier,Free or standardized text describing the condition of the specimen. Example: AUTOLYZED.,Perm
19,Findings,TF,TFMETHOD,TFMETHOD,Method of Test or Examination,Char,,Record Qualifier,Method of the test or examination. This could be different types of staining used for the slides. Example: H&E.,Perm
20,Findings,TF,TFLAT,TFLAT,Specimen Laterality within Subject,Char,(LAT),Variable Qualifier,"Qualifier for laterality of the specimen within the subject for paired specimens. Examples: LEFT, RIGHT, BILATERAL.",Perm
21,Findings,TF,TFDIR,TFDIR,Specimen Directionality within Subject,Char,(DIR),Variable Qualifier,"Qualifier for directionality of the specimen within the subject. Examples: DORSAL, PROXIMAL.",Perm
22,Findings,TF,TFEVAL,TFEVAL,Evaluator,Char,,Record Qualifier,"Role of the person who provided the evaluation. Example: TOX PATHOLOGIST, PEER REVIEW, SPONSOR PATHOLOGIST.",Perm
23,Findings,TF,TFDTHREL,TFDTHREL,Relationship to Death,Char,(NY),Record Qualifier,"Describes the relationship of a particular finding to the death of a subject. Example: Y if the tumor was the cause of death, N if the tumor was not the cause of death, or U for Unknown. Null cannot be used because the variable is required.",Req
24,Findings,TF,TFDTC,TFDTC,Date/Time of Collection,Char,ISO 8601,Timing,"Date/time of specimen collection, in ISO 8601 format.",Perm
25,Findings,TF,TFDY,TFDY,Study Day of Collection,Num,,Timing,"Study day of specimen collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
26,Findings,TF,TFDETECT,TFDETECT,Time in Days to Detection of Tumor,Num,,Timing,The number of days from the start of dosing to the earliest detection of the tumor in the experimental phase. This variable must be populated for every tumor discovered during the experimental phase.,Req
1,Trial Design,TS,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study within the submission.,Req
2,Trial Design,TS,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain most relevant to the observation.,Req
3,Trial Design,TS,TSSEQ,TSSEQ,Sequence Number,Num,,Identifier,"Sequence number given to ensure uniqueness within a dataset. Allows inclusion of multiple records for the same TSPARMCD, and can be used to join related records.",Req
4,Trial Design,TS,TSGRPID,TSGRPID,Group Identifier,Char,,Identifier,Used to tie together a group of related records. This is not the sponsor-defined protocol group number.,Exp
5,Trial Design,TS,TSPARMCD,TSPARMCD,Trial Summary Parameter Short Name,Char,(STSPRMCD),Topic,Short character value for the trial design characteristic described in TSPARM. Value must be 8 characters or less.,Req
6,Trial Design,TS,TSPARM,TSPARM,Trial Summary Parameter,Char,(STSPRM),Synonym Qualifier,Term for the trial parameter. Value must be 40 characters or less.,Req
7,Trial Design,TS,TSVAL,TSVAL,Parameter Value,Char,,Result Qualifier,"Value of the TS parameter (e.g., “FDA” when TSPARM is GLP Type). The values for some parameters may be subject to controlled terminology. See the Controlled Terms, Codelist, or Format column in Section 7.6.3 that lists all defined parameters. TSVAL cannot be null – a value is required for the record to be valid.",Req
1,Trial Design,TX,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Trial Design,TX,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Trial Design,TX,SETCD,SETCD,Set Code,Char,,Identifier,"Short name of a specific Trial Set, as defined by the sponsor. Maximum 8 characters. This represents the Trial Set for which parameters are being submitted.",Req
4,Trial Design,TX,SET,SET,Set Description,Char,,Synonym Qualifier,"Long description of a specific Trial Set, as defined by the sponsor.",Req
5,Trial Design,TX,TXSEQ,TXSEQ,Sequence Number,Num,,Identifier,Unique number for this record within this dataset. (This sequence should be unique within the entire dataset because there is no USUBJID.),Req
6,Trial Design,TX,TXPARMCD,TXPARMCD,Trial Set Parameter Short Name,Char,(STSPRMCD),Topic,Short character value for the Trial Set parameter described in TXPARM. Maximum 8 characters.,Req
7,Trial Design,TX,TXPARM,TXPARM,Trial Set Parameter,Char,(STSPRM),Synonym Qualifier,Term for the Trial Set parameter. Maximum 40 characters.,Req
8,Trial Design,TX,TXVAL,TXVAL,Trial Set Parameter Value,Char,,Result Qualifier,"Value of the Trial Set parameter (e.g., Fed ad libitum or Restricted Feeding when TXPARM is FEEDREG). Some parameters may be subject to controlled terminology. See the Controlled Terms, Codelist, or Format column in Section 7.4.2 that lists all defined Trial Set parameters.",Req
1,Findings,VS,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,VS,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Findings,VS,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,VS,VSSEQ,VSSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,VS,VSGRPID,VSGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
6,Findings,VS,VSSPID,VSSPID,Sponsor-Defined Identifier,Char,,Identifier,Sponsor-defined reference number.,Perm
7,Findings,VS,VSTESTCD,VSTESTCD,Vital Signs Test Short Name,Char,(VSTESTCD),Topic,"Short name of the measurement, test, or examination described in VSTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in VSTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST” is not valid). VSTESTCD cannot contain characters other than letters, numbers, or underscores. Examples: SYSBP, DIABP.",Req
8,Findings,VS,VSTEST,VSTEST,Vital Signs Test Name,Char,(VSTEST),Synonym Qualifier,"Verbatim name of the test or examination used to obtain the measurement or finding. The value in VSTEST cannot be longer than 40 characters. Examples: Systolic Blood Pressure, Diastolic Blood Pressure.",Req
9,Findings,VS,VSCAT,VSCAT,Category for Vital Signs,Char,,Grouping Qualifier,Used to define a category of related records.,Perm
10,Findings,VS,VSSCAT,VSSCAT,Subcategory for Vital Signs,Char,,Grouping Qualifier,A further categorization of a measurement or examination.,Perm
11,Findings,VS,VSPOS,VSPOS,Vital Signs Position of Subject,Char,(POSITION),Record Qualifier,"Position of the subject during a measurement or examination. Examples: SUPINE, STANDING, SITTING.",Perm
12,Findings,VS,VSORRES,VSORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the vital signs measurement as originally received or collected.,Exp
13,Findings,VS,VSORRESU,VSORRESU,Unit of the Original Result,Char,(VSRESU),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology list.,Exp
14,Findings,VS,VSSTRESC,VSSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings, copied or derived from VSORRES in a standard format or standard units. VSSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in VSSTRESN. For example, if a test has results NONE, NEG, and NEGATIVE in VSORRES and these results effectively have the same meaning, they could be represented in standard format in VSSTRESC as NEGATIVE.",Exp
15,Findings,VS,VSSTRESN,VSSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for continuous or numeric results or findings in standard format; copied in numeric format from VSSTRESC. VSSTRESN should store all numeric test results or findings.,Exp
16,Findings,VS,VSSTRESU,VSSTRESU,Unit of the Standardized Result,Char,(VSRESU),Variable Qualifier,Standardized unit used for VSSTRESC or VSSTRESN.,Exp
17,Findings,VS,VSSTAT,VSSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in VSORRES.,Perm
18,Findings,VS,VSREASND,VSREASND,Reason Not Done,Char,,Record Qualifier,"Describes why VSSTAT is NOT DONE, such as BROKEN EQUIPMENT.",Perm
19,Findings,VS,VSLOC,VSLOC,Location of Vital Signs Measurement,Char,,Record Qualifier,Location relevant to the collection of Vital Signs measurement. Example: LEFT ARM for blood pressure.,Perm
20,Findings,VS,VSCSTATE,VSCSTATE,Consciousness State,Char,(CSTATE),Record Qualifier,"The consciousness state of the subject at the time of measurement. Examples: CONSCIOUS, SEMI-CONSCIOUS, UNCONSCIOUS.",Perm
21,Findings,VS,VSBLFL,VSBLFL,Baseline Flag,Char,(NY),Record Qualifier,A baseline indicator may be used to calculate differences or changes from baseline. Value should be Y or null. The baseline flag is sponsor-defined.,Exp
22,Findings,VS,VSDRVFL,VSDRVFL,Derived Flag,Char,,Record Qualifier,Used to indicate a derived record. The value should be Y or null. Records which represent the average of other records are examples of records that would be derived for the submission datasets.,Perm
23,Findings,VS,VSEXCLFL,VSEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
24,Findings,VS,VSREASEX,VSREASEX,Reason for Exclusion,Char,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when VSEXCLFL is Y.,Perm
25,Findings,VS,VISITDY,VISITDY,Planned Study Day of Collection,Num,,Timing,This is the planned day of collection.,Exp
26,Findings,VS,VSDTC,VSDTC,Date/Time of Measurement,Char,ISO 8601,Timing,"Date/time of the vital sign measurement collection, in ISO 8601 format. For indicating measurement over a period, DTC should be populated with the start date/time of collection.",Exp
27,Findings,VS,VSENDTC,VSENDTC,End Date/Time of Measurement,Char,ISO 8601,Timing,"Date/time of the end of the vital sign measurement collection, in ISO 8601 character format. Should be populated for continuous period only.",Perm
28,Findings,VS,VSDY,VSDY,Study Day of Vital Signs Measurement,Num,,Timing,"Study day of vital signs measurements collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
29,Findings,VS,VSENDY,VSENDY,Study Day of End of Measurement,Num,,Timing,"Study day of the end of the vital signs measurement collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
30,Findings,VS,VSTPT,VSTPT,Planned Time Point Name,Char,,Timing,"Text description of time when measurement should be taken. Note: This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See VSTPTNUM and VSTPTREF. Examples: Start, 5 min post.",Perm
31,Findings,VS,VSTPTNUM,VSTPTNUM,Planned Time Point Number,Num,,Timing,Numerical version of VSTPT to aid in sorting; required if time points are included within the domain.,Perm
32,Findings,VS,VSELTM,VSELTM,Planned Elapsed Time from Time,Char,ISO 8601,Timing,Planned Elapsed time (in ISO 8601) relative to a planned fixed reference (VSTPTREF). This variable is useful where there are repetitive measures.,Perm
33,Findings,VS,VSTPTREF,VSTPTREF,Time Point Reference,Char,,Timing,"Name of the fixed reference point referred to by VSELTM, VSTPTNUM, and VSTPT. Examples: PREVIOUS DOSE, PREVIOUS MEAL.",Perm
34,Findings,VS,VSRFTDTC,VSRFTDTC,Date/Time of Time Point Reference,Char,ISO 8601,Timing,"Date/time of the reference time point, VSTPTREF.",Perm
