Seq. For Order,Observation Class,Domain Prefix,"Variable Name 
(minus domain prefix)",Variable Name,Variable Label,Type,"Controlled Terms, Codelist or Format",Role,"CDISC Notes (for domains)
Description (for General Classes)",Core
21,Findings,PP,NOMLBL,PPNOMLBL,Label for Nominal Study Day,Char,,Timing,"A label for a given value of PPNOMDY as presented in the study report. Examples: Week 4,"" Day 28"".",Perm
22,Findings,PP,TPTREF,PPTPTREF,Time Point Reference,Char,,Timing,Name of the fixed reference point used as a basis for PPRFTDTC.,Perm
23,Findings,PP,RFTDTC,PPRFTDTC,Date/Time of Reference Point,Char,ISO 8601,Timing,"Date/Time of the reference time point, PPTPTREF. The values in PPRFTDTC should be the same as that in PCRFTDTC for related records.",Exp
24,Findings,PP,STINT,PPSTINT,Start of Assessment Interval,Char,ISO 8601,Timing,"Start of the assessment interval relative to Time Point Reference (PPTPTREF) in ISO 8601 duration format. Example: When the area under the curve is calculated from 12 to 24 hours (PPTESTCD = AUCT1T2), the value would be PT12H.",Perm
25,Findings,PP,ENINT,PPENINT,End of Assessment Interval,Char,ISO 8601,Timing,"End of the assessment interval relative to Time Point Reference (PPTPTREF) in ISO 8601 duration format. Example: When the area under the curve is calculated from 12 to 24 hours (PPTESTCD = AUCT1T2), the value would be PT24H.",Perm
1,Findings,SC,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,SC,DOMAIN,DOMAIN,Domain Abbreviation,Char,SC,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,SC,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across a study for all applications or submissions involving the product.,Req
4,Findings,SC,SEQ,SCSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,SC,GRPID,SCGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject. This is not the treatment group number.,Perm
6,Findings,SC,TESTCD,SCTESTCD,Subject Characteristic Short Name,Char,(SBCCDSND),Topic,"Short name of the measurement, test, or examination described in SCTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in SCTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). SCTESTCD cannot contain characters other than letters, numbers, or underscores. Some extensible controlled values are: SPLRNAM, SPLRLOC, HAIRCOLR.",Req
7,Findings,SC,TEST,SCTEST,Subject Characteristic,Char,(SBCSND),Synonym Qualifier,"Long name for SCTESTCD. The value in SCTEST cannot be longer than 40 characters. Examples: Test Subject Supplier, Test Subject Supplier Site, and Hair Coat Color.",Req
8,Findings,SC,ORRES,SCORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the subject characteristic as originally received or collected.,Exp
9,Findings,SC,ORRESU,SCORRESU,Unit of the Original Result,Char,(UNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology (http://www.cdisc.org/terminology) list.,Perm
10,Findings,SC,STRESC,SCSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings, copied or derived from SCORRES in a standard format or standard units. SCSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in SCSTRESN. For example, if a test has results NONE, NEG, and NEGATIVE in SCORRES, these results effectively have the same meaning. In this case, they could be represented in standard format in SCSTRESC with a single term NEGATIVE.",Exp
11,Findings,SC,STRESN,SCSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for numeric results or findings in standard format; contains the numeric form of SCSTRESC. SCSTRESN should store all numeric test results or findings.,Perm
12,Findings,SC,STRESU,SCSTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,Standardized unit used for SCSTRESC and SCSTRESN.,Perm
13,Findings,SC,DTC,SCDTC,Date/Time of Collection,Char,ISO 8601,Timing,"Date/Time of collection of the subject characteristic information, in ISO 8601 format.",Perm
14,Findings,SC,DY,SCDY,Study Day of Collection,Num,,Timing,"Study day of collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
1,Findings,TF,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,TF,DOMAIN,DOMAIN,Domain Abbreviation,Char,TF,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,TF,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product within the submission,Req
4,Findings,TF,SEQ,TFSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,TF,GRPID,TFGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject. This is not the treatment group number.,Perm
6,Findings,TF,REFID,TFREFID,Specimen Identifier,Char,,Identifier,Internal or external specimen identifier. Example: Specimen barcode number.,Perm
7,Findings,TF,SPID,TFSPID,Mass Identifier,Char,,Identifier,"Mass identifier such as MASS 1 or MASS A. Used when the mass was discovered during the in-life phase or during pathology and was assigned a mass identifier. The mass identification should be unique within the subject, regardless of mass location.",Exp
8,Findings,TF,TESTCD,TFTESTCD,Tumor Examination Short Name,Char,(TFTESTCD),Topic,"Short name of the measurement, test, or examination described in TFTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in TFTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). TFTESTCD cannot contain characters other than letters, numbers, or underscores. Example: TUMEX.",Req
9,Findings,TF,TEST,TFTEST,Tumor Examination Name,Char,(TFTEST),Synonym Qualifier,Long name for TFTESTCD. The value in TFTEST cannot be longer than 40 characters. Example: Tumor Examination.,Req
10,Findings,TF,ORRES,TFORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the histopathological examination as originally received or collected.,Exp
11,Findings,TF,STRESC,TFSTRESC,Standardized Result in Character Format,Char,(NEOPLASM),Result Qualifier,Contains the tumor name mapped from TFORRES into a standard format from the controlled terms list.,Exp
12,Findings,TF,RESCAT,TFRESCAT,Tumor Malignancy Status,Char,(NEOSTAT),Variable Qualifier,"Used to record the malignancy of the tumor as determined by the pathologist. It may be copied or derived from a description in TFORRES. Examples: BENIGN, MALIGNANT, METASTATIC, and UNDETERMINED.",Req
13,Findings,TF,NAM,TFNAM,Laboratory Name,Char,,Record Qualifier,Name or identifier of the laboratory or vendor that provided the test results.,Perm
14,Findings,TF,SPEC,TFSPEC,Specimen Material Type,Char,(SPEC),Record Qualifier,"Defines the type of tissue, organ, or fluid specimen examined. Examples: LIVER, HEART.",Req
15,Findings,TF,ANTREG,TFANTREG,Anatomical Region of Specimen,Char,,Variable Qualifier,"Defines the specific anatomical or biological region of a tissue, organ specimen, or the region from which the specimen was obtained, such as a section or part of what is defined in the TFSPEC variable. If the anatomical region is not included in the specimen description TFSPEC, it may be included in this variable. This field can be a combination of terms where needed. This field can be null if not applicable. Examples: CORTEX, MEDULLA, MUCOSA, SEROSA, ISLET, ZONA FASICULATA, ZONA RETICULARIS, CRANIAL, MEDIAN, ACCESSORY, SPINAL, LUMBAR, FRONTAL.",Perm
16,Findings,TF,SPCCND,TFSPCCND,Specimen Condition,Char,,Record Qualifier,Free or standardized text describing the condition of the specimen. Example: AUTOLYZED.,Perm
17,Findings,TF,LAT,TFLAT,Specimen Laterality within Subject,Char,(LAT),Variable Qualifier,"Qualifier for laterality of the specimen within the subject for paired specimens. Examples: LEFT, RIGHT, BILATERAL.",Perm
18,Findings,TF,DIR,TFDIR,Specimen Directionality within Subject,Char,(DIR),Variable Qualifier,"Qualifier for directionality of the specimen within the subject. Examples: DORSAL, PROXIMAL.",Perm
19,Findings,TF,METHOD,TFMETHOD,Method of Test or Examination,Char,,Record Qualifier,Method of the test or examination. This could be different types of staining used for the slides. Example: H&E.,Perm
20,Findings,TF,EVAL,TFEVAL,Evaluator,Char,,Record Qualifier,"Role of the person who provided the evaluation. Example: TOX PATHOLOGIST, PEER REVIEW, SPONSOR PATHOLOGIST.",Perm
21,Findings,TF,DTHREL,TFDTHREL,Relationship to Death,Char,(NY),Record Qualifier,"Describes the relationship of a particular finding to the death of a subject. Example: Y if the tumor was the cause of death, N if the tumor was not the cause of death, or U for Unknown. Null cannot be used because the variable is required.",Req
22,Findings,TF,DTC,TFDTC,Date/Time,Char,ISO 8601,Timing,"For a specimen collected or observed post mortem, this is the date/time of subject disposition, in ISO 8601 format.",Perm
23,Findings,TF,DY,TFDY,Study Day,Num,,Timing,"For a specimen collected or observed post mortem, this is the study day of subject disposition, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
24,Findings,TF,DETECT,TFDETECT,Time in Days to Detection of Tumor,Num,,Timing,The number of days from the start of dosing to the earliest detection of the tumor in the experimental phase. This variable must be populated for every tumor discovered during the experimental phase.,Req
1,Findings,VS,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,VS,DOMAIN,DOMAIN,Domain Abbreviation,Char,VS,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,VS,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,VS,SEQ,VSSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,VS,GRPID,VSGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject. This is not the treatment group number.,Perm
6,Findings,VS,SPID,VSSPID,Sponsor-Defined Identifier,Char,,Identifier,Sponsor-defined reference identifier,Perm
7,Findings,VS,TESTCD,VSTESTCD,Vital Signs Test Short Name,Char,(SVSTSTCD),Topic,"Short name of the measurement described in VSTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in VSTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). VSTESTCD cannot contain characters other than letters, numbers, or underscores.",Req
8,Findings,VS,TEST,VSTEST,Vital Signs Test Name,Char,(SVSTST),Synonym Qualifier,Long name for VSTESTCD. The value in VSTEST cannot be longer than 40 characters.,Req
9,Findings,VS,CAT,VSCAT,Category for Vital Signs,Char,,Grouping Qualifier,Used to define a category of the vital signs measurement performed.,Perm
10,Findings,VS,SCAT,VSSCAT,Subcategory for Vital Signs,Char,,Grouping Qualifier,A further categorization of the vital signs measurement performed.,Perm
11,Findings,VS,POS,VSPOS,Vital Signs Position of Subject,Char,(POSITION),Record Qualifier,"Position of the subject during the measurement. If the subject is restrained, populate with the position (example SITTING or STANDING).",Perm
12,Findings,VS,ORRES,VSORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the vital signs measurement as originally received or collected.,Exp
13,Findings,VS,ORRESU,VSORRESU,Unit of the Original Result,Char,(UNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology (http://www.cdisc.org/terminology) list.,Exp
14,Findings,VS,STRESC,VSSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings, copied or derived from VSORRES in a standard format or standard units. VSSTRESC should store all results in character format; if results are numeric, they should also be submited in numeric format in VSSTRESN.",Exp
15,Findings,VS,STRESN,VSSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for numeric results or findings in standard format; contains the numeric form of VSSTRESC. VSSTRESN should store all numeric test results or findings.,Exp
16,Findings,VS,STRESU,VSSTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,Standardized unit used for VSSTRESC and VSSTRESN.,Exp
17,Findings,VS,STAT,VSSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in VSORRES.,Perm
18,Findings,VS,REASND,VSREASND,Reason Not Done,Char,,Record Qualifier,"Describes why VSSTAT is NOT DONE, such as BROKEN EQUIPMENT.",Perm
19,Findings,VS,LOC,VSLOC,Location of Vital Signs Measurement,Char,,Record Qualifier,Location relevant to the collection of the vital signs measurement. Example: RECTAL for Temperature.,Perm
20,Findings,VS,CSTATE,VSCSTATE,Consciousness State,Char,(CSTATE),Record Qualifier,"Consciousness state of the subject at the time of measurement. Examples: CONSCIOUS, SEMI-CONSCIOUS, UNCONSCIOUS.",Perm
21,Findings,VS,BLFL,VSBLFL,Baseline Flag,Char,(NY),Record Qualifier,A baseline indicator may be used to calculate differences or changes from baseline. Value should be Y or null. The baseline flag is sponsor defined.,Exp
22,Findings,VS,DRVFL,VSDRVFL,Derived Flag,Char,(NY),Record Qualifier,Used to indicate a derived record. The value should be Y or null.,Perm
23,Findings,VS,EXCLFL,VSEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
24,Findings,VS,REASEX,VSREASEX,Reason for Exclusion,Char,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when VSEXCLFL is Y.,Perm
25,Findings,VS,USCHFL,VSUSCHFL,Unscheduled Flag,Char,(NY),Record Qualifier,"Indicates whether the timing of the performed test or observation was unscheduled. If a test or observation was performed based upon a schedule defined in the protocol, this flag should be null. Expected values are Y or null.",Perm
26,Findings,VS,VISITDY,VISITDY,Planned Study Day of Collection,Num,,Timing,Planned day of the vital signs measurement. Should be an integer.,Perm
27,Findings,VS,DTC,VSDTC,Date/Time of Measurement,Char,ISO 8601,Timing,"Date/Time of the vital sign measurement, in ISO 8601 format. For indicating measurement over a period, DTC should be populated with the start date/time of collection.",Exp
28,Findings,VS,ENDTC,VSENDTC,End Date/Time of Measurement,Char,ISO 8601,Timing,"Date/Time of the end of the vital sign measurement, in ISO 8601 format. Should be populated for continuous period only.",Perm
29,Findings,VS,DY,VSDY,Study Day of Vital Signs Measurement,Num,,Timing,"Study day of vital signs measurements, in integer days. For indicating measurement over a continuous period, VSDY can be used to indicate start day of that interval. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
30,Findings,VS,ENDY,VSENDY,Study Day of End of Measurement,Num,,Timing,"Study day of the end of the vital signs measurement, in integer days. Can be populated when VSDY represents the start day of a continuous evaluation interval. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
31,Findings,VS,NOMDY,VSNOMDY,Nominal Study Day for Tabulations,Num,,Timing,Nominal study day used for grouping records for observations that may occur on different days into a single reported study day. Should be an integer.,Exp
32,Findings,VS,NOMLBL,VSNOMLBL,Label for Nominal Study Day,Char,,Timing,"A label for a given value of VSNOMDY as presented in the study report. Examples: Pre-Treatment, Week 4, Day 28.",Perm
33,Findings,VS,TPT,VSTPT,Planned Time Point Name,Char,,Timing,"Text description of time when the vital signs measurement should be taken. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See VSTPTNUM and VSTPTREF. Examples: Predose, 1 Hour Postdose.",Perm
34,Findings,VS,TPTNUM,VSTPTNUM,Planned Time Point Number,Num,,Timing,Numerical version of VSTPT to aid in sorting.,Perm
35,Findings,VS,ELTM,VSELTM,Planned Elapsed Time from Time Point Ref,Char,ISO 8601,Timing,Planned elapsed time (in ISO 8601 format) relative to a planned fixed reference (VSTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Represented as a duration in ISO 8601 format. Examples: '-PT15M' to represent the period of 15 minutes prior to the reference point indicated by VSTPTREF or 'PT8H' to represent the period of 8 hours after the reference point indicated by VSTPTREF.,Perm
36,Findings,VS,TPTREF,VSTPTREF,Time Point Reference,Char,,Timing,"Name of the fixed reference point referred to by VSELTM, if used for VSTPTNUM, and VSTPT. It is recommended that VSTPTREF be as descriptive as possible so the reference time point can be inferred without looking at other variables. Examples: DAY 1 DOSE, DAY 1 MEAL.",Perm
37,Findings,VS,RFTDTC,VSRFTDTC,Date/Time of Time Point Reference,Char,ISO 8601,Timing,"Date/Time of the reference time point, VSTPTREF.",Perm
1,Findings,EG,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,EG,DOMAIN,DOMAIN,Domain Abbreviation,Char,EG,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,EG,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,EG,SEQ,EGSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,EG,GRPID,EGGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject. This is not the treatment group number.,Perm
6,Findings,EG,REFID,EGREFID,ECG Reference Identifier,Char,,Identifier,Internal or external ECG identifier. Example: UUID.,Perm
7,Findings,EG,SPID,EGSPID,Sponsor-Defined Identifier,Char,,Identifier,Sponsor-defined reference identifier.,Perm
8,Findings,EG,TESTCD,EGTESTCD,ECG Test Short Name,Char,(EGTESTCD),Topic,"Short name of the measurement, test, or examination described in EGTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in EGTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). EGTESTCD cannot contain characters other than letters, numbers, or underscores. Examples: EGHRMN, QTMAX.",Req
9,Findings,EG,TEST,EGTEST,ECG Test Name,Char,(EGTEST),Synonym Qualifier,"Long name for EGTESTCD. The value in EGTEST cannot be longer than 40 characters. Examples: ECG Mean Heart Rate, Summary (Max) QT Duration.",Req
10,Findings,EG,CAT,EGCAT,Category for ECG,Char,(EGCATSND),Grouping Qualifier,"Used to define a category of the ECG test performed. Examples: MEASUREMENT, DIAGNOSIS, INTERPRETATION.",Perm
11,Findings,EG,POS,EGPOS,ECG Position of Subject,Char,(POSITION),Record Qualifier,"Position of the subject during a measurement or examination. If the subject is restrained, populate with the position (example SITTING or STANDING); otherwise, populate with UNCONSTRAINED.",Exp
12,Findings,EG,ORRES,EGORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the ECG measurement or finding as originally received or collected.,Exp
13,Findings,EG,ORRESU,EGORRESU,Unit of the Original Result,Char,(UNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology (http://www.cdisc.org/terminology) list.,Exp
14,Findings,EG,STRESC,EGSTRESC,Standardized Result in Character Format,Char,(EGSTRESC),Result Qualifier,"Contains the result value for all findings, copied or derived from EGORRES, in a standard format or standard units. EGSTRESC should store all results or findings in character format, using controlled terminology, where possible. If results are numeric, they should also be stored in numeric format in EGSTRESN.",Exp
15,Findings,EG,STRESN,EGSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for numeric results or findings in standard format; contains the numeric form of EGSTRESC. EGSTRESN should store all numeric test results or findings.,Exp
16,Findings,EG,STRESU,EGSTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,Standardized unit used for EGSTRESC and EGSTRESN.,Exp
17,Findings,EG,STAT,EGSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in EGORRES.,Perm
18,Findings,EG,REASND,EGREASND,Reason Not Done,Char,,Record Qualifier,"Describes why EGSTAT is NOT DONE, such as BROKEN EQUIPMENT.",Perm
19,Findings,EG,XFN,EGXFN,ECG External File Name,Char,,Record Qualifier,File name and path for the external ECG Waveform file. Would be used if sponsor is requested to submit waveform.,Perm
20,Findings,EG,NAM,EGNAM,Laboratory Name,Char,,Record Qualifier,Name or identifier of the laboratory or vendor that provided the test results.,Perm
21,Findings,EG,METHOD,EGMETHOD,Method of ECG Test,Char,(EGMETHOD),Record Qualifier,"Method of the test or examination. Examples: 12 LEAD STANDARD, 6 LEAD STANDARD.",Exp
22,Findings,EG,LEAD,EGLEAD,Lead Used for Measurement,Char,(EGLEAD),Record Qualifier,Lead identified to capture the measurement.,Exp
23,Findings,EG,CSTATE,EGCSTATE,Consciousness State,Char,(CSTATE),Record Qualifier,"Consciousness state of the subject at the time of measurement. Examples: CONSCIOUS, SEMI-CONSCIOUS, UNCONSCIOUS.",Exp
24,Findings,EG,BLFL,EGBLFL,Baseline Flag,Char,(NY),Record Qualifier,A baseline indicator may be used to calculate differences or changes from baseline. Value should be Y or null. The baseline flag is sponsor defined.,Exp
25,Findings,EG,DRVFL,EGDRVFL,Derived Flag,Char,(NY),Record Qualifier,"Used to indicate a derived record. The value should be Y or null. Records that represent the average of other records, or that are not as originally received or collected, are examples of records that might be derived for the submission datasets.",Perm
26,Findings,EG,EVAL,EGEVAL,Evaluator,Char,,Record Qualifier,"Role of the person who provided the evaluation. Should be null for records that contain collected or derived data. Examples: RESPONSIBLE SCIENTIST, PRINCIPAL INVESTIGATOR, PEER REVIEWER.",Perm
27,Findings,EG,EXCLFL,EGEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
28,Findings,EG,REASEX,EGREASEX,Reason for Exclusion,Char,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when EGEXCLFL is Y.,Perm
29,Findings,EG,USCHFL,EGUSCHFL,Unscheduled Flag,Char,(NY),Record Qualifier,"Indicates whether the timing of the performed test or observation was unscheduled. If a test or observation was performed based upon a schedule defined in the protocol, this flag should be null. Expected values are Y or null.",Perm
30,Findings,EG,VISITDY,VISITDY,Planned Study Day of Collection,Num,,Timing,Planned study day of collection. Should be an integer.,Perm
31,Findings,EG,DTC,EGDTC,Date/Time of ECG Collection,Char,ISO 8601,Timing,"Date/Time of ECG data collection, in ISO 8601 format. For indicating measurement over a continuous period, DTC should be used to indicate start date/time of collection.",Exp
32,Findings,EG,ENDTC,EGENDTC,End Date/Time of ECG Collection,Char,ISO 8601,Timing,"Date/Time of end of the ECG data collection, in ISO 8601 format. Should be populated for measurement over a continuous period only.",Perm
33,Findings,EG,DY,EGDY,Study Day of ECG Collection,Num,,Timing,"Study day of the ECG measurement collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
34,Findings,EG,ENDY,EGENDY,Study Day of End of ECG Collection,Num,,Timing,"Study day of the end of the ECG measurement collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
35,Findings,EG,NOMDY,EGNOMDY,Nominal Study Day for Tabulations,Num,,Timing,Nominal study day used for grouping records for observations that may occur on different days into a single reported study day. Should be an integer.,Exp
36,Findings,EG,NOMLBL,EGNOMLBL,Label for Nominal Study Day,Char,,Timing,"A label for a given value of EGNOMDY as presented in the study report. Examples: Pre-Treatment, Week 4, Day 28.",Perm
37,Findings,EG,TPT,EGTPT,Planned Time Point Name,Char,,Timing,"Text description of time when ECG data should be collected. Note: This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See EGTPTNUM and EGTPTREF. Examples: Predose, 1 Hour Postdose.",Perm
38,Findings,EG,TPTNUM,EGTPTNUM,Planned Time Point Number,Num,,Timing,Numerical version of EGTPT to aid in sorting.,Perm
39,Findings,EG,ELTM,EGELTM,Planned Elapsed Time from Time Point Ref,Char,ISO 8601,Timing,"Planned elapsed time (in ISO 8601 format) relative to a fixed time point reference (EGTPTREF). This variable is useful where there are repetitive measures. Not a clock-time or a date-time variable. Represented as an ISO 8601 duration. Examples: ""-PT15M"" to represent the period of 15 minutes prior to the reference point indicated by EGTPTREF, or ""PT8H"" to represent the period of 8 hours after the reference point indicated by EGTPTREF.",Perm
40,Findings,EG,TPTREF,EGTPTREF,Time Point Reference,Char,,Timing,"Name of the fixed reference point referred to by EGELTM, if used for EGTPTNUM, and EGTPT. It is recommended that EGTPTREF be as descriptive as possible so the reference time point can be inferred without looking at others variables. Example: DAY 1 FIRST DOSE.",Perm
41,Findings,EG,RFTDTC,EGRFTDTC,Date/Time of Reference Time Point,Char,ISO 8601,Timing,"Date/Time of the reference time point, EGTPTREF.",Perm
42,Findings,EG,EVLINT,EGEVLINT,Evaluation Interval,Char,ISO 8601,Timing,Length of evaluation interval in ISO 8601 duration format. Used in place of EGSTINT and EGENINT when EGTPTREF is not available.,Perm
43,Findings,EG,STINT,EGSTINT,Planned Start of Assessment Interval,Char,ISO 8601,Timing,Planned Start of an asessment interval relative to Time Point Reference (EGTPTREF) in ISO 8601 duration format.,Perm
44,Findings,EG,ENINT,EGENINT,Planned End of Assessment Interval,Char,ISO 8601,Timing,Planned End of an assessment interval relative to Time Point Reference (EGTPTREF) in ISO 8601 duration format.,Perm
1,Findings,CV,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,CV,DOMAIN,DOMAIN,Domain Abbreviation,Char,CV,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,CV,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all application or submissions involving the product.,Req
4,Findings,CV,SEQ,CVSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,CV,GRPID,CVGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject and can be used to support relationships within the domain and between domains using RELREC. This is not the treatment group number.,Perm
6,Findings,CV,SPID,CVSPID,Sponsor-Defined Identifier,Char,,Identifier,Sponsor-defined reference identifier,Perm
7,Findings,CV,TESTCD,CVTESTCD,Test Short Name,Char,(SCVTSTCD),Topic,"Short name of the measurement, test, or examination described in CVTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in CVTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). CVTESTCD cannot contain characters other than letters, numbers, or underscores. Examples: DIABP, HR, MAP, SYSBP.",Req
8,Findings,CV,TEST,CVTEST,Test Name,Char,(SCVTST),Synonym Qualifier,"Long name for CVTESTCD. The value in CVTEST cannot be longer than 40 characters. Examples: Diastolic Blood Pressure, Heart Rate, Mean Arterial Pressure, Systolic Blood Pressure.",Req
9,Findings,CV,POS,CVPOS,Position of Subject During Test,Char,(POSITION),Record Qualifier,"Position of the subject during the measurement or examination. If the subject is restrained, populate with the position (example SITTING or STANDING); otherwise, populate with UNCONSTRAINED.",Exp
10,Findings,CV,ORRES,CVORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
11,Findings,CV,ORRESU,CVORRESU,Unit of the Original Result,Char,(UNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology (http://www.cdisc.org/terminology) list.,Exp
12,Findings,CV,STRESC,CVSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings, copied or derived from CVORRES in a standard format or standard units. CVSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in CVSTRESN.",Exp
13,Findings,CV,STRESN,CVSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for continuous or numeric results or findings in standard format; contains the numeric form of CVSTRESC. CVSTRESN should store all numeric test results or findings.,Exp
14,Findings,CV,STRESU,CVSTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,Standardized unit used for CVSTRESC and CVSTRESN.,Exp
15,Findings,CV,STAT,CVSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in CVORRES.,Perm
16,Findings,CV,REASND,CVREASND,Reason Not Done,Char,,Record Qualifier,"Describes why CVSTAT is NOT DONE, such as BROKEN EQUIPMENT.",Perm
17,Findings,CV,METHOD,CVMETHOD,Method of Test,Char,,Record Qualifier,"Method of the test or examination. Examples: Intravascular, External Cuff.",Exp
18,Findings,CV,CSTATE,CVCSTATE,Consciousness State,Char,(CSTATE),Record Qualifier,"Consciousness state of the subject at the time of measurement. Examples: CONSCIOUS, SEMI-CONSCIOUS, UNCONSCIOUS.",Exp
